Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
EIF5B	1	1	77738.3	5483.89
ELAPOR2	1	1	547252	131395
ELAVL1	1	1		16766.7
ELOVL1	2	2	65692.7	12041.9
ELOVL5	1	1	152920	381737
EMC1	2	2		60001.7
EMC3	2	2	506337	414277
EMC7	1	1		10598.1
ENDOD1	1	1	18537.7	20551.5
ENO1	12	9	174605	92074.8
ENTPD6	1	1		6833.14
EPB41L4A	2	2		14006
EPC2	1	1		54422.3
EPHA7	1	1	30779	45774.6
EPHX1	2	2	252325	473815
EPPK1	2	2	15992.5	19100.5
EPRS1	1	1		16151.4
EPS8	2	2	45409.8	65102.4
ERGIC3	3	3	170925	288284
ERLIN1	1	1		25259.1
ERP44	1	1		19959.4
ESRP2	1	1		10641.8
ETAA1	1	1	23382.2	21189.2
ETNK1	1	1	60944.4	60328.1
ETS2	1	1		23987.6
EURL	1	1		10041.4
EXOC3	1	1		15436.1
EXOC5	1	1		39366.5
EXT2	2	2		30465.1
F8A1	1	1	164919	47236.2
FABP5	1	1	73780.8	
FADS2	3	2		77459.8
FAM111B	1	1	44100.5	116764
FAM120B	2	2	222690	429240
FAM149B1	1	1		14711.1
FAM210A	1	1		36742.8
FAM83H	2	2	52045	143120
FAM8A1	1	1		34847.1
FAM91A1;LINC00869	1	0		16375
FANCC	1	1		37743.9
FAR1	1	1	66732.9	116407
FAR2	1	1	24455.3	
FARSA	2	2	108117	103772
FARSB	2	2		21733.8
FASN	3	3	88555.8	107812
FASTKD3	1	1	348709	278998
FAT1	2	2		31993.4
FAU	3	3	20870.8	16158.7
FBH1	3	3		89484.4
FBN1	1	1		19770.9
FBXL17	1	1		15999.9
FBXO22	1	1	31534.5	
FBXO7	1	1	118659	243357
FDFT1	2	2		137809
FEN1	1	1		51528.5
FERMT2	1	1		13604.1
FHIP2A	2	1	56065.7	25952
FHL2	1	1		24963.1
FHOD1	2	2		60484.9
FIGNL1	1	1	58976.9	57955.1
FIRRM	3	3		43467.9
FKBP10	1	1		41065.6
FKBP9	1	1		183477
FLCN	1	1		89505.5
FLG	20	15	280958	
FLG2	10	10	100707	
FLII	1	1	434079	360936
FLNA	1	1	48401.8	62540.6
FLNB	4	2	617332	537913
FLNC	1	1		24666.3
FLOT1	1	1		30568
FMN1	1	1		10185.8
FNDC3A	1	1		43607.4
FNDC3B	1	1	96370.1	66847.3
FNIP2	1	1		73086
FOSL1	1	1		13139.7
FPGS	2	2		23722.2
FRAS1	2	2	34847.1	30434.2
FRMD6	1	1		66064.4
FSAF1	1	1		15391.1
FSCN1	1	1		111265
FUCA2	1	1		10492.2
FUOM	1	1	93846.2	162156
FXR1	3	1	278464	247188
G2E3	1	1	778932	524824
G3BP1;G3BP2	2	0	121396	124247
G6PD	1	1		14828
GAB1	1	1	43529.4	53394.2
GABARAPL1	1	1		12294.7
GAD1	1	1		26528.2
GAK	1	1		30500.4
GALK2	1	1		182729
GALNT10	1	1	19216.7	18228.7
GALNT7	1	1		6512.1
GANAB	1	1		30415.1
GAPDH	32	31	161836	43221.3
