Genes	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
HAUS2	1	1	370418	556937
HBA1	2	2	63689.8	
HBB	2	2	32234.2	16722.2
HBQ1	1	1		14060.2
HDAC5	1	1		53340.6
HDLBP	1	1	248994	
HEATR1	3	3	33693.4	30534.9
HECTD3	2	2	101530	
HELLS	1	1		34291.5
HELZ	1	1		13253.4
HERC3	3	3		576814
HERC4	1	1	287450	69066.9
HEXB	2	2	3.34316e+06	1.93963e+06
HIKESHI	1	1	142574	323773
HIPK2	1	1		30990.1
HK1	2	2		34239.4
HLCS	2	2		111959
HLTF	1	1		19251.2
HM13	1	1		72877.7
HMBS	2	2		46660
HMGCR	1	1		43465.1
HMGCS1	2	2	346960	780270
HMMR	1	1		9793.18
HNRNPA2B1	4	4		39767.6
HNRNPK	3	3	26756.5	29444
HNRNPL	1	1		135120
HNRNPM	1	1		8674.63
HNRNPU	2	2	33264.4	10206.5
HNRNPUL2	1	1		116377
HPRT1	1	1		3616.37
HRNR	2	2	55219.9	
HSD17B11	1	1		70386.9
HSD17B4	1	1		6481.31
HSD17B7	1	1	148561	132091
HSP90AA1	2	2	26303	31519.3
HSP90AB1	1	1	90207.1	165993
HSP90B1	5	5	1.00012e+06	1.01667e+06
HSPA14	1	1		62781.7
HSPA4	1	1		19584.5
HSPA5	4	4	14306.6	22163.1
HSPA9	1	1	27506.2	
HSPB1	4	4		74482.1
HSPBAP1	1	1		9570.37
HSPD1	14	14	348092	323352
HSPG2	2	2		26111.6
HUWE1	2	2		62146.7
IARS1	2	2		14449.1
IARS2	1	1		14335.3
ICE2	1	1		10155.8
IDE	1	1	59651.8	146860
IDH1	1	1	14155.8	
IDH2	2	2	21493.6	10322.4
IFFO2	1	1	171221	15556.1
IFI44	2	2	245069	224276
IFIT1	1	1		30646.4
IFIT3	1	1		8131.12
IFT122	2	2	48138.8	74283.7
IFT25	1	1		12636.6
IFT56	1	1		9210.41
IGF2BP1	2	2		226773
IGFBP7	1	1	108481	104649
IGSF10	3	3	155809	601336
IK	2	2		157708
IKBKE	1	1		31504.3
IL10RB	1	1		26174.2
ILF2	1	1	93730.5	
IMPA1	1	1	150854	224205
INF2	2	2	17054.8	11399.8
INPP4B	1	1		33486.5
INTS1	2	2		19836.6
INTS10	1	1		15896.3
INTS3	1	1		17090.6
INTS4	1	1	38001.6	37229.4
INTS6	1	1		132627
INTS9	1	1	205966	
IP6K2	1	1	17722.3	16103.9
IQCA1	1	1	112495	173456
ITCH	1	1		9363.96
ITGA5	1	1	71793.5	79045
ITGA6	2	2	27460.4	25362.2
ITGAV	3	3	598802	1.07679e+06
ITGB1	3	3	70080.2	151930
ITPR1	1	1		17391.8
ITPR3	3	3		32676.5
ITPRIP	1	1		46336.9
JAGN1	1	1		8960.17
JMJD1C	1	1	71156.5	93694.7
JMJD8	2	2	49141.6	52217.2
JUN	1	1		27476.9
JUP	5	5	41760.6	45399.1
KANSL1	1	1		49803.9
