Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	raw1/T064137_AurEl8_PM8_DIAIMP_CMB-1719_helalis_1_RD2_1_11076.d	raw1/T064139_AurEl8_PM8_DIAIMP_CMB-1719_helalis_2_RD3_1_11078.d
P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	1	1		43932.1
P30050	RL12_HUMAN	RPL12	Large ribosomal subunit protein uL11	1	1	116276	
P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	1	1	33529.5	116915
P30154	2AAB_HUMAN	PPP2R1B	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	1	1		34308.2
P30414	NKTR_HUMAN	NKTR	NK-tumor recognition protein	1	1		59375.6
P30825	CTR1_HUMAN	SLC7A1	High affinity cationic amino acid transporter 1	1	1	31311.3	54442.9
P30838	AL3A1_HUMAN	ALDH3A1	Aldehyde dehydrogenase, dimeric NADP-preferring	1	1		27615.5
P31327	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	1	1		29162
P31431	SDC4_HUMAN	SDC4	Syndecan-4	1	1		75069.9
P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	1	1	88948.8	227990
P31943;P52597;P55795	HNRH1_HUMAN;HNRH2_HUMAN;HNRPF_HUMAN	HNRNPF;HNRNPH1;HNRNPH2	Heterogeneous nuclear ribonucleoprotein H	1	0	405822	643076
P32004	L1CAM_HUMAN	L1CAM	Neural cell adhesion molecule L1	1	1	48822.8	34559.7
P32121	ARRB2_HUMAN	ARRB2	Beta-arrestin-2	1	1	506037	
P32780	TF2H1_HUMAN	GTF2H1	General transcription factor IIH subunit 1	1	1	62721.4	52855.4
P32942	ICAM3_HUMAN	ICAM3	Intercellular adhesion molecule 3	1	1	67467.7	153274
P32969	RL9_HUMAN	RPL9	Large ribosomal subunit protein uL6	1	1	118601	86166.6
P33897	ABCD1_HUMAN	ABCD1	ATP-binding cassette sub-family D member 1	1	1	53868.9	61455.6
P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	2	1	172335	353870
P35125;Q8NFA0	UBP32_HUMAN;UBP6_HUMAN	USP32;USP6	Ubiquitin carboxyl-terminal hydrolase 6	1	0		31466.6
P35244	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit	1	1	1.48088e+06	966670
P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	1	1		98932.6
P35613	BASI_HUMAN	BSG	Basigin	1	1	177968	
P35658	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	1	1	85299.5	119822
P36402;Q9HCS4;Q9NQB0;Q9UJU2	LEF1_HUMAN;TCF7_HUMAN;TF7L1_HUMAN;TF7L2_HUMAN	LEF1;TCF7;TCF7L1;TCF7L2	Transcription factor 7	1	0	71054.6	165695
P36542	ATPG_HUMAN	ATP5F1C	ATP synthase F(1) complex subunit gamma, mitochondrial	2	2	9143.57	10085.7
P36956	SRBP1_HUMAN	SREBF1	Sterol regulatory element-binding protein 1	1	1	167831	213193
P37802	TAGL2_HUMAN	TAGLN2	Transgelin-2	2	1	1.51897e+06	1.69583e+06
P37837	TALDO_HUMAN	TALDO1	Transaldolase	1	1		11800.9
P38398	BRCA1_HUMAN	BRCA1	Breast cancer type 1 susceptibility protein	1	1	18936.1	13327.1
P38571	LICH_HUMAN	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase	1	1		22051
P38606	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	2	2	39995.3	44396.6
P38646	HSPA9_HUMAN	HSPA9	Stress-70 protein, mitochondrial	2	1	94961.4	107959
P38935	SMBP2_HUMAN	IGHMBP2	DNA-binding protein SMUBP-2	1	1	495483	409725
P39687	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	2	2	277845	159557
P40227	TCPZ_HUMAN	CCT6A	T-complex protein 1 subunit zeta	1	1	80123.5	324534
P40337	VHL_HUMAN	VHL	von Hippel-Lindau disease tumor suppressor	1	1		169020
P41091;Q2VIR3	IF2GL_HUMAN;IF2G_HUMAN	EIF2S3;EIF2S3B	Eukaryotic translation initiation factor 2 subunit 3	1	0	816890	1.23682e+06
P41252	SYIC_HUMAN	IARS1	Isoleucine--tRNA ligase, cytoplasmic	1	1		69805.3
P42025;P61163	ACTY_HUMAN;ACTZ_HUMAN	ACTR1A;ACTR1B	Beta-centractin	2	0	180699	308768
P42229;P51692	STA5A_HUMAN;STA5B_HUMAN	STAT5A;STAT5B	Signal transducer and activator of transcription 5A	1	0	653570	
P42356	PI4KA_HUMAN	PI4KA	Phosphatidylinositol 4-kinase alpha	1	1		47278.2
P42704	LPPRC_HUMAN	LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial	1	1		61520.1
P42858	HD_HUMAN	HTT	Huntingtin	1	1	70710.1	123670
P43005	EAA3_HUMAN	SLC1A1	Excitatory amino acid transporter 3	1	1		54956.4
P43246	MSH2_HUMAN	MSH2	DNA mismatch repair protein Msh2	2	2	105791	117851
P43308	SSRB_HUMAN	SSR2	Translocon-associated protein subunit beta	1	1	78811.7	110770
P43355	MAGA1_HUMAN	MAGEA1	Melanoma-associated antigen 1	1	1	269844	222524
P47712	PA24A_HUMAN	PLA2G4A	Cytosolic phospholipase A2	2	2	81369.3	135879
P48029;Q9Y345	SC6A5_HUMAN;SC6A8_HUMAN	SLC6A5;SLC6A8	Sodium- and chloride-dependent creatine transporter 1	1	0	39803.1	68368.6
P48067	SC6A9_HUMAN	SLC6A9	Sodium- and chloride-dependent glycine transporter 1	1	1		35301
P48163	MAOX_HUMAN	ME1	NADP-dependent malic enzyme	1	0		267096
P48643	TCPE_HUMAN	CCT5	T-complex protein 1 subunit epsilon	3	3	1.4416e+06	1.45001e+06
P49184	DNSL1_HUMAN	DNASE1L1	Deoxyribonuclease-1-like 1	1	1	50665.2	63252.6
P49238	CX3C1_HUMAN	CX3CR1	CX3C chemokine receptor 1	1	1	61316.3	67722.1
P49257	LMAN1_HUMAN	LMAN1	Protein ERGIC-53	1	1	130750	258203
P49281	NRAM2_HUMAN	SLC11A2	Natural resistance-associated macrophage protein 2	1	1	115967	203937
P49327	FAS_HUMAN	FASN	Fatty acid synthase	3	3	221814	256262
P49419	AL7A1_HUMAN	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase	1	1		27625.3
P49441	INPP_HUMAN	INPP1	Inositol polyphosphate 1-phosphatase	1	1	68086.9	
P49454	CENPF_HUMAN	CENPF	Centromere protein F	1	1	238366	167941
P49459;P63146	UBE2A_HUMAN;UBE2B_HUMAN	UBE2A;UBE2B	Ubiquitin-conjugating enzyme E2 A	1	0	769014	1.19505e+06
P49589	SYCC_HUMAN	CARS1	Cysteine--tRNA ligase, cytoplasmic	1	1		909735
P49721	PSB2_HUMAN	PSMB2	Proteasome subunit beta type-2	1	1	197435	85595.1
P49754	VPS41_HUMAN	VPS41	Vacuolar protein sorting-associated protein 41 homolog	1	1		11658.7
P49903;Q99611	SPS1_HUMAN;SPS2_HUMAN	SEPHS1;SEPHS2	Selenide, water dikinase 1	1	0	102297	
P50443	S26A2_HUMAN	SLC26A2	Sulfate transporter	1	1	45250.8	
P50454	SERPH_HUMAN	SERPINH1	Serpin H1	1	1	46909.7	25355.5
P50591	TNF10_HUMAN	TNFSF10	Tumor necrosis factor ligand superfamily member 10	1	1		100620
P50748	KNTC1_HUMAN	KNTC1	Kinetochore-associated protein 1	1	1	45106.6	
P50750	CDK9_HUMAN	CDK9	Cyclin-dependent kinase 9	1	1		98611.8
P51003;Q9BWT3;Q9NRJ5	PAPOA_HUMAN;PAPOB_HUMAN;PAPOG_HUMAN	PAPOLA;PAPOLB;PAPOLG	Poly(A) polymerase alpha	1	0		42573
P51114	FXR1_HUMAN	FXR1	RNA-binding protein FXR1	2	2		45711.4
P51153;P61006;P61026;Q92930	RAB10_HUMAN;RAB13_HUMAN;RAB8A_HUMAN;RAB8B_HUMAN	RAB10;RAB13;RAB8A;RAB8B	Ras-related protein Rab-13	1	0	17313.9	20425.6
P51532	SMCA4_HUMAN	SMARCA4	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4	1	0	129852	
P51571	SSRD_HUMAN	SSR4	Translocon-associated protein subunit delta	3	3	433188	1.14293e+06
P51572	BAP31_HUMAN	BCAP31	B-cell receptor-associated protein 31	1	1		18636.7
P51784	UBP11_HUMAN	USP11	Ubiquitin carboxyl-terminal hydrolase 11	1	1	177771	533878
P51812	KS6A3_HUMAN	RPS6KA3	Ribosomal protein S6 kinase alpha-3	1	0	7483.34	19496.2
P51825	AFF1_HUMAN	AFF1	AF4/FMR2 family member 1	1	1		11753.1
P52292	IMA1_HUMAN	KPNA2	Importin subunit alpha-1	1	1	15662.3	16966
P52732	KIF11_HUMAN	KIF11	Kinesin-like protein KIF11	1	1		6765.41
P52788	SPSY_HUMAN	SMS	Spermine synthase	1	1	99821.9	169288
P52888	THOP1_HUMAN	THOP1	Thimet oligopeptidase	1	1	75729.6	72819.6
P52907	CAZA1_HUMAN	CAPZA1	F-actin-capping protein subunit alpha-1	1	1	127477	211382
P53602	MVD1_HUMAN	MVD	Diphosphomevalonate decarboxylase	1	1	28087.1	80774.8
P53618	COPB_HUMAN	COPB1	Coatomer subunit beta	1	1		99126.1
P53677	AP3M2_HUMAN	AP3M2	AP-3 complex subunit mu-2	1	1	68160.7	111895
P53985	MOT1_HUMAN	SLC16A1	Monocarboxylate transporter 1	1	1		53531.2
P54136	SYRC_HUMAN	RARS1	Arginine--tRNA ligase, cytoplasmic	1	1	374117	189890
P54619	AAKG1_HUMAN	PRKAG1	5'-AMP-activated protein kinase subunit gamma-1	2	1	90602.2	102973
P54652	HSP72_HUMAN	HSPA2	Heat shock-related 70 kDa protein 2	1	0		47113.1
P55040	GEM_HUMAN	GEM	GTP-binding protein GEM	1	1		37397.4
P55061	BI1_HUMAN	TMBIM6	Bax inhibitor 1	1	1		73526.2
P55072	TERA_HUMAN	VCP	Transitional endoplasmic reticulum ATPase	1	1	534403	212060
P55082	MFAP3_HUMAN	MFAP3	Microfibril-associated glycoprotein 3	1	1	152280	289229
P55809	SCOT1_HUMAN	OXCT1	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	1	1		35901.2
P56937	DHB7_HUMAN	HSD17B7	3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7	1	1	15285.4	35530.2
P57729;Q13637	RAB32_HUMAN;RAB38_HUMAN	RAB32;RAB38	Ras-related protein Rab-38	1	0	55492.7	62401.4
P59826	BPIB3_HUMAN	BPIFB3	BPI fold-containing family B member 3	1	1		36266.6
P60709;P63261	ACTB_HUMAN;ACTG_HUMAN	ACTB;ACTG1	Actin, cytoplasmic 1	5	0	45162.2	50380.7
P60842	IF4A1_HUMAN	EIF4A1	Eukaryotic initiation factor 4A-I	1	1	796694	849248
P60903	S10AA_HUMAN	S100A10	Protein S100-A10	1	1	22951.6	22093.9
P60953	CDC42_HUMAN	CDC42	Cell division control protein 42 homolog	1	1	38343.9	
P61073	CXCR4_HUMAN	CXCR4	C-X-C chemokine receptor type 4	2	2	195932	386102
P61158;Q9C0K3;Q9P1U1	ARP3B_HUMAN;ARP3C_HUMAN;ARP3_HUMAN	ACTR3;ACTR3B;ACTR3C	Actin-related protein 3	2	0	70064.5	74687
P61289	PSME3_HUMAN	PSME3	Proteasome activator complex subunit 3	1	1	16965.4	32655.2
P61599	NAA20_HUMAN	NAA20	N-alpha-acetyltransferase 20	1	1	26070.7	61459.4
P61803	DAD1_HUMAN	DAD1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	1	1	43549.7	38143.2
P61962	DCAF7_HUMAN	DCAF7	DDB1- and CUL4-associated factor 7	1	1		16341.3
P62280	RS11_HUMAN	RPS11	Small ribosomal subunit protein uS17	1	1	56598.7	19150.4
P62324	BTG1_HUMAN	BTG1	Protein BTG1	1	1		5893.39
P62487	RPB7_HUMAN	POLR2G	DNA-directed RNA polymerase II subunit RPB7	1	1		54268.2
P62491	RB11A_HUMAN	RAB11A	Ras-related protein Rab-11A	1	1		30416.1
P62701	RS4X_HUMAN	RPS4X	Small ribosomal subunit protein eS4, X isoform	1	1	59359.4	41758.1
P62714;P67775	PP2AA_HUMAN;PP2AB_HUMAN	PPP2CA;PPP2CB	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform	1	0	384471	
P62820;Q92928;Q9H0U4	RAB1A_HUMAN;RAB1B_HUMAN;RAB1C_HUMAN	RAB1A;RAB1B;RAB1C	Ras-related protein Rab-1A	1	0	32864.2	22399.3
P62841	RS15_HUMAN	RPS15	Small ribosomal subunit protein uS19	1	1	730495	252101
P62906	RL10A_HUMAN	RPL10A	Large ribosomal subunit protein uL1	1	1	154022	90363.4
P63010	AP2B1_HUMAN	AP2B1	AP-2 complex subunit beta	2	1	36457.9	39890.4
P63173	RL38_HUMAN	RPL38	Large ribosomal subunit protein eL38	1	1		90234.3
P69849;Q15155;Q5JPE7	NOMO1_HUMAN;NOMO2_HUMAN;NOMO3_HUMAN	NOMO1;NOMO2;NOMO3	BOS complex subunit NOMO3	2	0	361316	665619
P78346	RPP30_HUMAN	RPP30	Ribonuclease P protein subunit p30	1	1	54927.2	
P78347	GTF2I_HUMAN	GTF2I	General transcription factor II-I	1	1	42701	48259.1
P78362	SRPK2_HUMAN	SRPK2	SRSF protein kinase 2	1	1		16694.1
P78381	S35A2_HUMAN	SLC35A2	UDP-galactose translocator	1	1		19573.2
P78382	S35A1_HUMAN	SLC35A1	CMP-sialic acid transporter	1	1		10242
P80365	DHI2_HUMAN	HSD11B2	11-beta-hydroxysteroid dehydrogenase type 2	1	1		120571
P81605	DCD_HUMAN	DCD	Dermcidin	1	1	129053	
P82279	CRUM1_HUMAN	CRB1	Protein crumbs homolog 1	1	1	227632	
P86397	HTD2_HUMAN	HTD2	Hydroxyacyl-thioester dehydratase type 2, mitochondrial	1	1	183709	571802
P98082	DAB2_HUMAN	DAB2	Disabled homolog 2	1	1	174763	192023
Q00341	VIGLN_HUMAN	HDLBP	Vigilin	1	1	311857	174365
Q00587	BORG5_HUMAN	CDC42EP1	Cdc42 effector protein 1	1	1	92278.5	130180
Q00597	FANCC_HUMAN	FANCC	Fanconi anemia group C protein	1	1		6744.86
Q01453	PMP22_HUMAN	PMP22	Peripheral myelin protein 22	1	1	41472.1	69434.7
Q01628	IFM3_HUMAN	IFITM3	Interferon-induced transmembrane protein 3	1	1		9424.47
Q01650	LAT1_HUMAN	SLC7A5	Large neutral amino acids transporter small subunit 1	5	5	2.88513e+06	3.65644e+06
Q01718	ACTHR_HUMAN	MC2R	Adrenocorticotropic hormone receptor	1	1		33075.8
Q01813	PFKAP_HUMAN	PFKP	ATP-dependent 6-phosphofructokinase, platelet type	1	1		47394
Q02880	TOP2B_HUMAN	TOP2B	DNA topoisomerase 2-beta	2	1	14229.2	12410.4
Q03001	DYST_HUMAN	DST	Dystonin	2	2	35665.4	22321.5
Q03933	HSF2_HUMAN	HSF2	Heat shock factor protein 2	1	1		67781.6
Q04941	PLP2_HUMAN	PLP2	Proteolipid protein 2	1	1		39916.1
Q05D32	CTSL2_HUMAN	CTDSPL2	CTD small phosphatase-like protein 2	1	1	188155	52436.8
Q05DH4	FHI1A_HUMAN	FHIP1A	FHF complex subunit HOOK-interacting protein 1A	1	1	83171.5	94485.6
Q06481	APLP2_HUMAN	APLP2	Amyloid beta precursor like protein 2	1	1		97327.1
Q07021	C1QBP_HUMAN	C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial	1	1		44967.5
Q08945	SSRP1_HUMAN	SSRP1	FACT complex subunit SSRP1	1	1		18670.5
Q09666	AHNK_HUMAN	AHNAK	Neuroblast differentiation-associated protein AHNAK	1	1	111307	800837
Q0VDG4	SCRN3_HUMAN	SCRN3	Secernin-3	1	1		25223.6
Q10589	BST2_HUMAN	BST2	Bone marrow stromal antigen 2	2	2	1.1996e+06	1.70613e+06
Q12766	HMGX3_HUMAN	HMGXB3	HMG domain-containing protein 3	1	1	46579.9	
Q12769	NU160_HUMAN	NUP160	Nuclear pore complex protein Nup160	2	2	124586	231227
Q12770	SCAP_HUMAN	SCAP	Sterol regulatory element-binding protein cleavage-activating protein	2	2	330663	751662
Q12772	SRBP2_HUMAN	SREBF2	Sterol regulatory element-binding protein 2	1	1	20669.1	139165
Q12849	GRSF1_HUMAN	GRSF1	G-rich sequence factor 1	1	1	1.57116e+06	704650
Q12887	COX10_HUMAN	COX10	Protoheme IX farnesyltransferase, mitochondrial	1	1	77004.2	157260
Q12894	IFRD2_HUMAN	IFRD2	Interferon-related developmental regulator 2	1	1	499923	142331
Q12905	ILF2_HUMAN	ILF2	Interleukin enhancer-binding factor 2	3	3	103759	157195
Q12980	NPRL3_HUMAN	NPRL3	GATOR1 complex protein NPRL3	2	2	144604	230531
Q13107	UBP4_HUMAN	USP4	Ubiquitin carboxyl-terminal hydrolase 4	1	1		37410.6
Q13115	DUS4_HUMAN	DUSP4	Dual specificity protein phosphatase 4	1	1		32342.5
Q13155	AIMP2_HUMAN	AIMP2	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	1	1	320052	128547
Q13190	STX5_HUMAN	STX5	Syntaxin-5	1	1		61911.2
Q13227	GPS2_HUMAN	GPS2	G protein pathway suppressor 2	1	1	123948	225705
Q13286	CLN3_HUMAN	CLN3	Battenin	1	1	309705	558742
Q13362	2A5G_HUMAN	PPP2R5C	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform	1	1	62933.9	43021
Q13485	SMAD4_HUMAN	SMAD4	Mothers against decapentaplegic homolog 4	1	1		101294
Q13496	MTM1_HUMAN	MTM1	Myotubularin	1	1		10500.8
Q13569	TDG_HUMAN	TDG	G/T mismatch-specific thymine DNA glycosylase	1	1		99275.8
Q13613	MTMR1_HUMAN	MTMR1	Phosphatidylinositol-3-phosphate phosphatase MTMR1	1	1		31742.7
Q13614	MTMR2_HUMAN	MTMR2	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR2	1	1		35333.3
Q13823	NOG2_HUMAN	GNL2	Nucleolar GTP-binding protein 2	2	2	37540.9	29579.5
Q13887	KLF5_HUMAN	KLF5	Krueppel-like factor 5	1	1	98486.3	157015
Q13888;Q6P1K8	T2H2L_HUMAN;TF2H2_HUMAN	GTF2H2;GTF2H2C	General transcription factor IIH subunit 2	1	0		61796.1
Q14008	CKAP5_HUMAN	CKAP5	Cytoskeleton-associated protein 5	3	3	24882.7	24788.9
Q14011	CIRBP_HUMAN	CIRBP	Cold-inducible RNA-binding protein	1	1		10799.9
Q14139	UBE4A_HUMAN	UBE4A	Ubiquitin conjugation factor E4 A	1	1	176895	489051
Q14152	EIF3A_HUMAN	EIF3A	Eukaryotic translation initiation factor 3 subunit A	1	1	20944	17286.2
Q14181	DPOA2_HUMAN	POLA2	DNA polymerase alpha subunit B	1	1		17210.8
Q14344	GNA13_HUMAN	GNA13	Guanine nucleotide-binding protein subunit alpha-13	1	1	635716	337545
Q14457	BECN1_HUMAN	BECN1	Beclin-1	1	1		64509.3
Q14517	FAT1_HUMAN	FAT1	Protocadherin Fat 1	1	1	103905	279359
Q14562	DHX8_HUMAN	DHX8	ATP-dependent RNA helicase DHX8	1	1	105253	
Q14656	TM187_HUMAN	TMEM187	Transmembrane protein 187	1	1	27363.5	19148
Q14746	COG2_HUMAN	COG2	Conserved oligomeric Golgi complex subunit 2	1	1	51801.9	43270.3
Q14774	HLX_HUMAN	HLX	H2.0-like homeobox protein	2	2	658995	1.2785e+06
Q14814	MEF2D_HUMAN	MEF2D	Myocyte-specific enhancer factor 2D	1	1	78719.3	75317.8
Q14995	NR1D2_HUMAN	NR1D2	Nuclear receptor subfamily 1 group D member 2	1	1		91406.3
Q14997	PSME4_HUMAN	PSME4	Proteasome activator complex subunit 4	2	2		155595
Q14C86	GAPD1_HUMAN	GAPVD1	GTPase-activating protein and VPS9 domain-containing protein 1	1	1		20832.9
Q14CZ7	FAKD3_HUMAN	FASTKD3	FAST kinase domain-containing protein 3, mitochondrial	1	1	14181.5	36656.4
Q15021	CND1_HUMAN	NCAPD2	Condensin complex subunit 1	2	2	43028.7	66726.1
Q15029	U5S1_HUMAN	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component	1	1		59370.3
Q15038	DAZP2_HUMAN	DAZAP2	DAZ-associated protein 2	2	2	264205	750618
Q15043	S39AE_HUMAN	SLC39A14	Metal cation symporter ZIP14	2	2		48027.5
Q15070	OXA1L_HUMAN	OXA1L	Mitochondrial inner membrane protein OXA1L	1	1	93493.7	301994
Q15165	PON2_HUMAN	PON2	Serum paraoxonase/arylesterase 2	1	1	73793.4	105600
Q15173;Q16537	2A5B_HUMAN;2A5E_HUMAN	PPP2R5B;PPP2R5E	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform	1	0	62234.5	53397.6
Q15181	IPYR_HUMAN	PPA1	Inorganic pyrophosphatase	1	1		167508
Q15286	RAB35_HUMAN	RAB35	Ras-related protein Rab-35	1	1	29085.7	9668.75
Q15345	LRC41_HUMAN	LRRC41	Leucine-rich repeat-containing protein 41	1	1		77429.3
Q15386	UBE3C_HUMAN	UBE3C	Ubiquitin-protein ligase E3C	1	1	77487.2	
Q15397	PUM3_HUMAN	PUM3	Pumilio homolog 3	1	1	190692	130606
Q15436	SC23A_HUMAN	SEC23A	Protein transport protein Sec23A	1	1		89866.4
Q15631	TSN_HUMAN	TSN	Translin	1	1	528538	285798
Q15646	OASL_HUMAN	OASL	2'-5'-oligoadenylate synthase-like protein	1	1	121233	115258
Q15648	MED1_HUMAN	MED1	Mediator of RNA polymerase II transcription subunit 1	1	1	35266	37358.4
Q15652	JHD2C_HUMAN	JMJD1C	Probable JmjC domain-containing histone demethylation protein 2C	1	1	981216	
Q15758	AAAT_HUMAN	SLC1A5	Neutral amino acid transporter B(0)	2	2	1.50291e+06	1.39478e+06
Q15843	NEDD8_HUMAN	NEDD8	Ubiquitin-like protein NEDD8	1	1		431874
Q16222	UAP1_HUMAN	UAP1	UDP-N-acetylhexosamine pyrophosphorylase	1	1	66829.9	70582.2
Q16254	E2F4_HUMAN	E2F4	Transcription factor E2F4	1	0	141939	244818
Q16270	IBP7_HUMAN	IGFBP7	Insulin-like growth factor-binding protein 7	3	3	176422	407408
Q16352	AINX_HUMAN	INA	Alpha-internexin	1	1	158352	107542
Q16401	PSMD5_HUMAN	PSMD5	26S proteasome non-ATPase regulatory subunit 5	1	1		33410.7
Q16678	CP1B1_HUMAN	CYP1B1	Cytochrome P450 1B1	1	1		27914.8
Q16773	KAT1_HUMAN	KYAT1	Kynurenine--oxoglutarate transaminase 1	1	1	35406.4	82182.6
Q16795	NDUA9_HUMAN	NDUFA9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	1	1	72880.5	193938
Q17RS7	GEN_HUMAN	GEN1	Flap endonuclease GEN homolog 1	1	1	280409	430872
Q29RF7	PDS5A_HUMAN	PDS5A	Sister chromatid cohesion protein PDS5 homolog A	1	1		19347.6
Q2KHR3	QSER1_HUMAN	QSER1	Glutamine and serine-rich protein 1	1	1		64017.3
Q2PPJ7;Q6GYQ0	RGPA1_HUMAN;RGPA2_HUMAN	RALGAPA1;RALGAPA2	Ral GTPase-activating protein subunit alpha-2	1	0	62593.6	54451.8
Q2TAL8	QRIC1_HUMAN	QRICH1	Transcriptional regulator QRICH1	1	1		56720.6
Q32NB8	PGPS1_HUMAN	PGS1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial	1	1	704025	882526
Q3KP31	ZN791_HUMAN	ZNF791	Zinc finger protein 791	1	1		39595.3
Q3MII6	TBC25_HUMAN	TBC1D25	TBC1 domain family member 25	1	1		73037
Q3MIR4;Q9NV96	CC50A_HUMAN;CC50B_HUMAN	TMEM30A;TMEM30B	Cell cycle control protein 50B	1	0		21185.8
Q49AM1	MTEF2_HUMAN	MTERF2	Transcription termination factor 2, mitochondrial	2	2	100537	255004
Q4G0J3	LARP7_HUMAN	LARP7	La-related protein 7	1	1	83345.6	
Q4KMQ1	TPRN_HUMAN	TPRN	Taperin	1	1	539897	410897
Q4ZIN3	MBRL_HUMAN	TMEM259	Membralin	2	2	277239	635727
Q53EP0	FND3B_HUMAN	FNDC3B	Fibronectin type III domain-containing protein 3B	2	2		55465.1
Q53GS7	GLE1_HUMAN	GLE1	mRNA export factor GLE1	3	3	967349	1.49885e+06
Q53H47	SETMR_HUMAN	SETMAR	Histone-lysine N-methyltransferase SETMAR	1	1		37735.2
Q56P03	EAPP_HUMAN	EAPP	E2F-associated phosphoprotein	1	1	8695.15	27329.7
Q5BJD5	TM41B_HUMAN	TMEM41B	Transmembrane protein 41B	1	1	1.37343e+06	1.21216e+06
Q5GLZ8	HERC4_HUMAN	HERC4	Probable E3 ubiquitin-protein ligase HERC4	1	1		105563
Q5HYI7	MTX3_HUMAN	MTX3	Metaxin-3	1	1	36581.1	99326.5
Q5J8M3	EMC4_HUMAN	EMC4	ER membrane protein complex subunit 4	1	1		49543.9
Q5MIZ7	P4R3B_HUMAN	PPP4R3B	Serine/threonine-protein phosphatase 4 regulatory subunit 3B	2	2	147835	152501
Q5R372	RBG1L_HUMAN	RABGAP1L	Rab GTPase-activating protein 1-like	1	1	260709	497803
Q5SRE5	NU188_HUMAN	NUP188	Nucleoporin NUP188	3	3	2.68628e+06	2.67517e+06
Q5SW79;Q96L14	C170L_HUMAN;CE170_HUMAN	CEP170;CEP170P1	Centrosomal protein of 170 kDa	1	0	2.39885e+06	1.88949e+06
Q5T089	MORN1_HUMAN	MORN1	MORN repeat-containing protein 1	1	1	286281	534753
Q5T4S7	UBR4_HUMAN	UBR4	E3 ubiquitin-protein ligase UBR4	2	2	1.50047e+06	1.31092e+06
Q5T8I3	EEIG2_HUMAN	EEIG2	EEIG family member 2	1	1	50328.9	
Q5T9C2	EEIG1_HUMAN	EEIG1	Early estrogen-induced gene 1 protein	1	1		36246.5
Q5TF58	IFFO2_HUMAN	IFFO2	Intermediate filament family orphan 2	1	1	516287	297347
Q5TFE4	NT5D1_HUMAN	NT5DC1	5'-nucleotidase domain-containing protein 1	1	1		69750.4
Q5TGY1	TMCO4_HUMAN	TMCO4	Transmembrane and coiled-coil domain-containing protein 4	1	1	122432	
Q5THK1	PR14L_HUMAN	PRR14L	Protein PRR14L	1	1		25680.9
Q5U651	RAIN_HUMAN	RASIP1	Ras-interacting protein 1	1	1	223176	298260
Q5VIR6	VPS53_HUMAN	VPS53	Vacuolar protein sorting-associated protein 53 homolog	2	2	107512	114425
Q5VST6;Q6PCB6;Q96GS6	AB17A_HUMAN;AB17B_HUMAN;AB17C_HUMAN	ABHD17A;ABHD17B;ABHD17C	Alpha/beta hydrolase domain-containing protein 17B	1	0	30056.2	
Q5VW36	FOCAD_HUMAN	FOCAD	Focadhesin	1	1		5590.1
Q5VWN6	TASO2_HUMAN	TASOR2	Protein TASOR 2	1	1	186888	471640
Q5VYK3	ECM29_HUMAN	ECPAS	Proteasome adapter and scaffold protein ECM29	2	2	588004	967712
Q5VYX0	RNLS_HUMAN	RNLS	Renalase	1	1		17112.3
Q63HN8	RN213_HUMAN	RNF213	E3 ubiquitin-protein ligase RNF213	1	1	8348.57	9215.79
Q69YN4	VIR_HUMAN	VIRMA	Protein virilizer homolog	1	1	429848	610045
Q6AZY7	SCAR3_HUMAN	SCARA3	Scavenger receptor class A member 3	1	1	454143	841824
Q6GQQ9	OTU7B_HUMAN	OTUD7B	OTU domain-containing protein 7B	1	1		60746.4
